Name,Pitch_R1_Deg,Roll_R2_Deg,Yaw_R3_Deg,Horz_Off_Meters,Vert_Off_Meters
LS1_CB10:SOL1_D1809,0.0066,-0.0518,0.0132,-0.000455,-0.000412
LS1_CB10:CAV2_D1814,-0.0246,-0.0741,0.0156,-0.000339,-0.000091
LS1_CB10:CAV3_D1818,0.0034,-0.0594,-0.0088,-0.000308,-0.000534
LS1_CB10:CAV4_D1822,-0.0119,-0.0636,-0.0212,-0.000305,-0.000242
LS1_CB10:SOL2_D1829,-0.0203,-0.0113,-0.0007,-0.000202,-0.000103
LS1_CB10:CAV5_D1834,-0.0258,-0.0787,0.0008,-0.000303,-0.000028
LS1_CB10:CAV6_D1838,0.0368,-0.0855,0.0461,-0.000443,-0.000023
LS1_CB10:CAV7_D1842,-0.0172,-0.0684,0.0412,-0.000393,0.000014
LS1_CB10:SOL3_D1849,0.0118,-0.0149,0.0312,-0.000451,-0.000222
LS1_CB10:CAV8_D1854,0.0133,-0.0911,-0.0082,-0.000759,-0.000023
LS1_CB11:CAV1_D1866,0.0215,-0.0301,0.0198,-0.000211,0.000053
LS1_CB11:SOL1_D1872,-0.0252,-0.0002,-0.0109,-0.000027,-0.000074
LS1_CB11:CAV2_D1878,0.0098,-0.024,-0.0244,0.000011,0.000174
LS1_CB11:CAV3_D1882,0.007,-0.0362,0.0165,-0.000395,0.000179
LS1_CB11:CAV4_D1886,-0.0096,-0.024,-0.0106,-0.000172,0.000186
LS1_CB11:SOL2_D1892,-0.0483,0.0407,0.0302,-0.00003,0.000068
LS1_CB11:CAV5_D1898,0.0317,0.061,0.0216,-0.000237,-0.000047
LS1_CB11:CAV6_D1902,0.0164,-0.0341,0.0354,-0.000205,0.000256
LS1_CB11:CAV7_D1906,-0.0062,0.0389,-0.0535,-0.00036,0.000229
LS1_CB11:SOL3_D1912,-0.0252,-0.0241,-0.0287,-0.000084,0.000154
LS1_CB11:CAV8_D1918,-0.01,-0.0409,0.0292,0.000018,0.000449
LS1_BTS:DC_D1937,-0.0005,-0.0107,0.0435,-0.000009,0.000054
LS1_BTS:QH_D1942,-0.0101,0.0203,0.0141,-0.000009,-0.000088
LS1_BTS:QV_D1950,0.0304,-0.0325,-0.0046,-0.000036,-0.000121
LS1_BTS:DC_D1964,-0.0095,-0.0097,0.0234,0.000063,-0.000052
LS1_BTS:QH_D1969,-0.0055,-0.0198,0.006,0.000003,-0.000059
LS1_BTS:QV_D1976,0.0048,-0.0049,0.0139,-0.000118,-0.000045
LS1_BTS:DC_D1997,0.0342,-0.0127,-0.0721,-0.000611,0.000005
LS1_BTS:QH_D2002,0.0109,-0.0037,0.0146,-0.000035,0.000001
LS1_BTS:QV_D2013,-0.0012,-0.0046,0.0059,-0.000033,-0.000048
LS1_BTS:DC_D2024,-0.008,0.0082,0.0246,0.000065,0.000119
LS1_BTS:QH_D2029,0.0189,-0.0223,0.0033,-0.000041,-0.000052
LS1_BTS:QV_D2042,-0.0384,0.0084,0.0123,-0.000041,-0.000047
LS1_BTS:DC_D2061,0.0137,-0.0025,0.0544,0.000083,0.000022
LS1_BTS:QV_D2066,0.0054,-0.0111,0.012,-0.000135,-0.000027
LS1_BTS:QH_D2073,0.0122,-0.0042,-0.0095,-0.000054,-0.000002
LS1_BTS:DC_D2114,0.014,0.0008,-0.1118,0.000152,-0.000015
LS1_BTS:QV_D2118,0.0404,-0.0142,-0.0106,0.000034,0.000037
LS1_BTS:QH_D2126,-0.0194,-0.0012,0.0107,-0.000125,-0.000045
FS1_CH02:CAV1_D2137,0.0451,-0.0026,-0.0359,0.000023,0.000079
FS1_CH02:CAV2_D2141,0.0068,0.0205,-0.0172,-0.000093,0.00004
FS1_CH02:CAV3_D2148,0.028,0.0011,-0.0152,-0.000069,-0.000065
